20170530T145715.170660 {"DistanceTravelled":0,"TimeAlive":25,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":18,"TotalTime":44,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.222660 {"DistanceTravelled":0,"TimeAlive":26,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":19,"TotalTime":45,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.288660 {"DistanceTravelled":0,"TimeAlive":27,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":20,"TotalTime":46,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.339660 {"DistanceTravelled":0,"TimeAlive":28,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":22,"TotalTime":48,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.407660 {"DistanceTravelled":0,"TimeAlive":29,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":23,"TotalTime":49,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.458660 {"DistanceTravelled":0,"TimeAlive":30,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":24,"TotalTime":50,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.509660 {"DistanceTravelled":0,"TimeAlive":31,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":25,"TotalTime":51,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.576660 {"DistanceTravelled":0,"TimeAlive":32,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":26,"TotalTime":52,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.632660 {"DistanceTravelled":0,"TimeAlive":33,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":27,"TotalTime":53,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.695660 {"DistanceTravelled":0,"TimeAlive":34,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":28,"TotalTime":54,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.747660 {"DistanceTravelled":0,"TimeAlive":35,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":30,"TotalTime":56,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.797660 {"DistanceTravelled":0,"TimeAlive":36,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":31,"TotalTime":57,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.865660 {"DistanceTravelled":0,"TimeAlive":37,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":32,"TotalTime":58,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.915660 {"DistanceTravelled":0,"TimeAlive":38,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":33,"TotalTime":59,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145715.966660 {"DistanceTravelled":0,"TimeAlive":39,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":34,"TotalTime":60,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.037660 {"DistanceTravelled":0,"TimeAlive":40,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":35,"TotalTime":61,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.085660 {"DistanceTravelled":0,"TimeAlive":41,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":36,"TotalTime":62,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.136660 {"DistanceTravelled":0,"TimeAlive":42,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":37,"TotalTime":63,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.204660 {"DistanceTravelled":0,"TimeAlive":43,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":38,"TotalTime":64,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.254660 {"DistanceTravelled":0,"TimeAlive":44,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":40,"TotalTime":66,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.305660 {"DistanceTravelled":0,"TimeAlive":45,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":41,"TotalTime":67,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.356660 {"DistanceTravelled":0,"TimeAlive":46,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":42,"TotalTime":68,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.424660 {"DistanceTravelled":0,"TimeAlive":47,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":43,"TotalTime":69,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.475660 {"DistanceTravelled":0,"TimeAlive":48,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":44,"TotalTime":70,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
20170530T145716.525660 {"DistanceTravelled":0,"TimeAlive":49,"MobsKilled":0,"PlayersKilled":0,"DamageTaken":0,"Life":20.0,"Score":0,"Food":20,"XP":0,"IsAlive":true,"Air":300,"Name":"Paco","XPos":4.5,"YPos":45.0,"ZPos":1.5,"Pitch":30.0,"Yaw":0.0,"WorldTime":45,"TotalTime":71,"floor3x3":["obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian","obsidian"]}
